first,second
remember ancillary,remembrance ill airy 
a foraged minutes sutured in sight meant,afore aged men it sutured incitement
all target the damaged mind in trance,altar get the damn aged mind entrance
the mention there of tenant seasons,the men shun their often antsy sons
phantom morrow,fan tomorrow
rail ingrained decomposes,railing rain eddy composes
cough in,coffin
garbage,garb age 
hostage,host age 
massage,mass age
pillage,pill age
plumage,plum age
a name,an aim
a nice cold shower,an ice cold shower
great ape,gray tape 
real eyes,realizes
real eyes,real lies
the good can decay many ways,the good candy came anyways
the stuffy nose,the stuff he knows
this guy,the sky
another,a other
apart,a part
a while,awhile
memo rehearsed while, memory erstwhile
focusing,foe kissing
paradox,pair of docs
understand,under stand 
scarcity, scare city
stationery,station airy
treason,tree son
usher,us her
ushered,us heard
wallet,wall it
caterpillar,cat her pillar 
inundate,in on date
intent,in tent
invest,in vest
metaphor,met a for
mandate,man date
hostile,host isle