Letter,Modern,Middle,Old
a,"/æ/, /eɪ/, /ɑː/, /ə/","/a/, /aː/","/ɑ/, /ɑː/"
b,/b/,/b/,/b/
c,"/k/, /s/","/k/, /s/","/k/, /tʃ/"
d,/d/,/d/,/d/
e,"/ɛ/, /iː/, /ə/","/e/, /eː/, /ɛː/, /ə/","/e/, /eː/"
f,"/f/, /v/","/f/, /v/","/f/, /v/"
g,"/g/, /dʒ/","/g/, /dʒ/","/g/, /j/, /ɣ/"
h,/h/,"/h/, /x/, /ç/","/h/, /x/, /ç/"
i,"/ɪ/, /aɪ/, /i/","/i/, /iː/","/i/, /iː/"
l,/l/,/l/,/l/
m,/m/,/m/,/m/
n,"/n/, /ŋ/","/n/, /ŋ/","/n/, /ŋ/"
o,"/ɒ/, /oʊ/, /ɔː/, /ʌ/","/o/, /oː/, /ɔː/","/o/, /oː/"
p,/p/,/p/,/p/
r,/ɹ/,/r/,/r/
s,"/s/, /z/, /ʃ/","/s/, /z/","/s/, /z/"
t,"/t/, /tʃ/, /ʃ/",/t/,/t/
u,"/ʌ/, /ʊ/, /uː/, /juː/","/u/, /uː/","/u/, /uː/"
x,"/ks/, /gz/, /z/",/ks/,/ks/
y,"/j/, /ɪ/, /aɪ/","/j/, /i/, /iː/","/y/, /yː/"